ticker,atr_mult,vol_mult,short_dur,num_trades,win_rate,avg_profit,max_loss,total_return,sharpe
JPM,4.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
JPM,4.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
JPM,4.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
JPM,4.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
JPM,4.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
JPM,5.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
JPM,5.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
JPM,5.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
JPM,5.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
JPM,5.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
JPM,5.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
KO,3.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
KO,3.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
KO,3.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
KO,3.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
KO,3.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
KO,3.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
KO,4.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
KO,4.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
KO,4.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
KO,4.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
KO,4.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
KO,4.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
KO,5.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
KO,5.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
KO,5.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
KO,5.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
KO,5.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
KO,5.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
