,prob_ruin,var_99,survival_rate,max_drawdown,expected_value,worst_case,median_value
NORMAL,0.0,-200.0,69.78,-3.419241062927391,10480.73301736987,9800.0,10269.250070800237
BUBBLE_BURST,0.0,-200.0,17.14,-6.804989122912026,10123.240448009288,9800.0,9800.0
